epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.49,2.34443,3.64228,1.66341,0.55903,0.11388,0.06498,0.03138,2.08428,3.0344,1.47392,0.000332139,0.000332139,0.000332139
2,378.472,2.03981,2.78202,1.44263,0.57555,0.20303,0.13468,0.05741,1.74498,2.58899,1.32962,0.000632531,0.000632531,0.000632531
3,707.99,1.94259,2.55915,1.39847,0.41347,0.15894,0.1127,0.05415,1.64911,2.48023,1.33054,0.000899924,0.000899924,0.000899924
4,1060.37,1.874,2.4406,1.3824,0.60364,0.1484,0.12058,0.05652,1.95477,2.44163,1.42534,0.0008515,0.0008515,0.0008515
5,1453.77,1.82314,2.35381,1.34636,0.59772,0.10618,0.11511,0.05936,1.55518,2.31959,1.26351,0.000802,0.000802,0.000802
6,1770.22,1.8027,2.28527,1.33418,0.42627,0.11541,0.07356,0.03876,1.48649,2.25682,1.22964,0.0007525,0.0007525,0.0007525
7,2055.05,1.77488,2.26397,1.33078,0.54466,0.13768,0.10218,0.06326,1.53005,2.20962,1.24997,0.000703,0.000703,0.000703
8,2412.04,1.70346,2.18992,1.29492,0.4805,0.15314,0.09761,0.05625,1.47864,2.14669,1.24498,0.0006535,0.0006535,0.0006535
9,2911.19,1.70721,2.1495,1.3139,0.41283,0.10102,0.07209,0.04391,1.47552,2.14765,1.24389,0.000604,0.000604,0.000604
10,3198.04,1.6904,2.11638,1.28214,0.50124,0.10657,0.07446,0.0458,1.48186,2.15158,1.23102,0.0005545,0.0005545,0.0005545
11,3519.36,1.63601,2.17575,1.2954,0.49664,0.12065,0.10256,0.05921,1.5433,2.1762,1.25992,0.000505,0.000505,0.000505
12,3764.37,1.61553,2.08692,1.28688,0.53206,0.12594,0.1127,0.07365,1.54275,2.08316,1.24691,0.0004555,0.0004555,0.0004555
13,4485.07,1.57703,2.0327,1.26796,0.53501,0.12207,0.11333,0.06992,1.48033,2.07615,1.22307,0.000406,0.000406,0.000406
14,4855.77,1.58029,1.98532,1.24682,0.56991,0.14446,0.10976,0.06552,1.52615,2.052,1.22682,0.0003565,0.0003565,0.0003565
15,5064.16,1.54503,1.9398,1.25388,0.52615,0.09662,0.08651,0.05752,1.4281,1.99489,1.20651,0.000307,0.000307,0.000307
16,5425.82,1.52264,1.92678,1.23729,0.51754,0.07202,0.05382,0.03735,1.40664,1.96997,1.19729,0.0002575,0.0002575,0.0002575
17,6683.72,1.50282,1.88939,1.23689,0.48804,0.07202,0.04743,0.03281,1.44454,1.94598,1.2128,0.000208,0.000208,0.000208
18,7791.97,1.50901,1.88099,1.22382,0.50358,0.06456,0.04863,0.0346,1.40978,1.93608,1.18224,0.0001585,0.0001585,0.0001585
19,9031.7,1.47711,1.85748,1.2159,0.50925,0.06705,0.04788,0.03364,1.45728,1.94257,1.20063,0.000109,0.000109,0.000109
20,10172.7,1.46851,1.83172,1.21004,0.51452,0.06207,0.04727,0.0339,1.40222,1.92908,1.18403,5.95e-05,5.95e-05,5.95e-05
